City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Sonegaon,IN,2022-07-10 02:59:42,20.65,78.6833,80.1,82,100,16.04
273,Sungaipenuh,ID,2022-07-10 02:59:42,-2.0833,101.3833,75.56,56,64,3.6
274,Karratha,AU,2022-07-10 02:59:43,-20.7377,116.8463,73.35,16,0,12.84
275,Republic,US,2022-07-10 03:00:43,37.12,-93.4802,75.61,70,39,8.95
276,Roxana,CR,2022-07-10 03:00:25,10.2753,-83.7513,80.02,97,100,2.28
277,Channel-Port Aux Basques,CA,2022-07-10 03:00:44,47.5702,-59.1367,55.53,81,6,18.48
278,Chelyabinsk,RU,2022-07-10 03:00:44,55.1544,61.4297,73.49,64,68,0.0
279,Potchefstroom,ZA,2022-07-10 03:00:45,-26.7167,27.1,45.28,71,0,6.85
280,Santa,PH,2022-07-10 03:00:45,17.486,120.4348,91.02,68,98,4.76
281,Lakes Entrance,AU,2022-07-10 03:00:46,-37.8811,147.981,57.16,66,31,6.98
282,Kodiak,US,2022-07-10 03:00:46,57.79,-152.4072,51.64,90,97,11.14
283,Port-Gentil,GA,2022-07-10 03:00:47,-0.7193,8.7815,72.16,80,52,12.44
284,San Vicente,AR,2022-07-10 02:59:00,-26.6167,-54.1333,67.01,61,80,7.0
285,Constitucion,CL,2022-07-10 03:00:47,-35.3333,-72.4167,50.74,86,100,7.81
286,San Francisco,US,2022-07-10 02:58:15,37.7749,-122.4194,72.99,85,5,14.0
287,Kapit,MY,2022-07-10 03:00:48,2.0167,112.9333,88.09,59,100,0.54
288,Coihaique,CL,2022-07-10 03:00:02,-45.5752,-72.0662,33.75,100,75,2.3
289,Kiruna,SE,2022-07-10 03:00:48,67.8557,20.2251,47.32,93,90,5.75
290,Grado,ES,2022-07-10 03:00:49,43.388,-6.0743,65.68,91,0,3.44
291,Goundam,ML,2022-07-10 03:00:49,16.4145,-3.6708,93.16,36,100,14.45
